ID,NImpacto,Weight
M5 - S269,Alta,1
M6 - S270,,0
M7 - S271,,0
M8 - S272,,0
M9 - S273,Media,1
M10 - S274,Alta,1
M11 - S275,Media,1
M12 - S276,Media,1
M1 - S277,Media,1
M2 - S278,Media,1
M3 - S279,,0
M4 - S280,Alta,1
M5 - S281,Alta,1
M6 - S282,Alta,1
M7 - S283,Alta,1
M8 - S284,Baja,1
M9 - S285,,0
M10 - S286,,0
M11 - S287,,0
M12 - S288,Alta,1
M1 - S289,Alta,1
M2 - S290,Alta,1
M3 - S291,Media,1
M4 - S292,Alta,1
M5 - S293,,0
M6 - S294,,0
M7 - S295,Alta,1
M8 - S296,Media,1
M9 - S297,Media,1
M10 - S298,Alta,1
M11 - S299,,0
M12 - S300,,0
M1 - S301,,0
M2 - S302,Media,1
M3 - S303,Alta,1
M4 - S304,Alta,1
M5 - S305,,0
M6 - S306,,0
M7 - S307,,0
M8 - S308,,0
M9 - S309,,0
M10 - S310,,0
M11 - S311,,0
M12 - S312,Alta,1
M1 - S313,Alta,1
M2 - S314,Alta,1
M3 - S315,,0
M4 - S316,,0
M5 - S317,,0
M6 - S318,,0
M7 - S319,Alta,1
M8 - S320,Alta,1
M9 - S321,Alta,1
M10 - S322,Alta,1
M11 - S323,Alta,1
M12 - S324,Alta,1
M1 - S325,Alta,1
M2 - S326,,0
M3 - S327,Alta,1
M4 - S328,,0
M5 - S329,,0
M6 - S330,,0
M7 - S331,,0
M8 - S332,Alta,1
M9 - S333,Alta,1
M10 - S334,,0
M11 - S335,,0
M12 - S336,Alta,1
M1 - S337,Alta,1
M2 - S338,Alta,1
M3 - S339,Alta,1
M4 - S340,Alta,1
M5 - S341,Alta,1
M6 - S342,Alta,1
M7 - S343,Alta,1
M8 - S344,Alta,1
M9 - S345,Alta,1
M10 - S346,,0
M11 - S347,Alta,1
M12 - S348,Alta,1
M1 - S349,Alta,1
M2 - S350,,0
M3 - S351,,0
M4 - S352,Alta,1
M5 - S353,Alta,1
M6 - S354,Alta,1
M7 - S355,Alta,1
M8 - S356,Alta,1
M9 - S357,Alta,1
M10 - S358,Alta,1
M11 - S359,Alta,1
M12 - S360,,0
M1 - S361,Alta,1
M2 - S362,Alta,1
